What is the price for adding a Mama’s side salad to the meal?,"The price for adding a Mama's side salad to the meal is $5.25."
Describe the CHIANTI BRAISED SHORT RIB dish.,"The CHIANTI BRAISED SHORT RIB dish is a slow-braised short rib that is cooked for 12 hours in Chianti wine. It is served over house pappardelle pasta and accompanied by cipollini onions and local kale."
What are the options for the CHICKEN PARMESAN dish?,"The options for the CHICKEN PARMESAN dish are $25 for an individual serving and $55 for a family serving. It comes with crispy chicken breasts, melted cheese, and tomato sauce, served with a side of organic spaghetti."
Can you provide details about the SALMONI ARROSTITI OLIVADA dish?,"The SALMONI ARROSTITI OLIVADA dish is a broiled premium fillet of North Atlantic salmon, topped with Kalamata olive pesto. It is served with roasted garlic mashed potatoes and roasted asparagus. The dish costs $34 and is marked with a * on the menu, indicating that it may be cooked to order."
What are the main ingredients in the Broiled premium fillet of North Atlantic salmon dish?,"The main ingredients in the Broiled premium fillet of North Atlantic salmon dish are North Atlantic salmon, Kalamata olive pesto, roasted garlic mashed potatoes, and roasted asparagus."
How is the Veal Marsala dish prepared?,"The Veal Marsala is prepared by sautéing veal scallopine in a Marsala mushroom sauce with shallots and served with linguine cacio e pepe."
What are the options for personalized pizzas on the menu?,"The options for personalized pizzas on the menu are a medium 9 inch or large 14 inch pizza with toppings such as tomato & mozzarella, chicken oreganata, and Italian sausage."
What are the additional charges for modifications to Mama's Classics dishes?,"There may be an additional charge for modifications to Mama's Classics dishes."
What are the topping options available for the Plain Cheese pizza?,"The topping options available for the Plain Cheese pizza are freshly made mozzarella, San Marzano tomatoes, torn basil, and Italian extra virgin olive oil."
When was Mama Ricotta's opened?,"The menu states that it is subject to change in June 2023, so it can be assumed that Mama Ricotta's was opened before that date. However, the exact date of the restaurant's opening is not mentioned in the given context."
What type of pizza is served at Mama Ricotta's?,"Freshly made mozzarella, San Marzano tomatoes, torn basil and Italian extra virgin olive oil"
What is the corkage fee at Mama Ricotta's?,"The corkage fee at Mama Ricotta's is $30."
Why did the owner choose a regional Italian-American menu at Mama Ricotta's?,"The owner chose a regional Italian-American menu at Mama Ricotta's because it reflects their family's heritage and culinary traditions, providing a sense of authenticity and familiarity to customers. Additionally, it allows for the use of fresh, local ingredients and the incorporation of unique dishes and flavors from different regions of Italy."
What kind of ingredients does Mama Ricotta's seek for their dishes?,"Mama Ricotta's seeks fresh, high-quality ingredients for their dishes including risotto, short rib, fresh mozzarella, Italian sausage, and San Marzano tomatoes. They also offer options for whole wheat and gluten-free pasta."
What are some of the homemade items Mama Ricotta's takes pride in?,"Some of the items Mama Ricotta's takes pride in include their house made fresh mozzarella, their family recipe for cheese ravioli, their Southern Italian style lasagna, and their famous penne alla vodka. They also offer fresh daily soups and salads, as well as a variety of homemade pasta dishes and entrees."
How does Mama Ricotta's describe their commitment to quality and hospitality?,"Mama Ricotta's takes pride in their commitment to quality and hospitality, offering a variety of fresh and homemade dishes made with the finest ingredients. They also strive to provide a warm and welcoming atmosphere for their guests, ensuring a memorable dining experience for all."
Who is the founder of Mama Ricotta's?,"The founder of Mama Ricotta's is Frank Scibelli."
What contact information is provided for Mama Ricotta's restaurant and catering services?,"The context does not mention the contact information for Mama Ricotta's restaurant and catering services."
